num,neutral,positive,negative,skip,mark,adj,caps_lock,exclamation_mark,label
205,0.5312193632125854,0.0,0.24509501457214355,0.0,0,0,0,0,ЛОЖЬ
206,0.523430347442627,0.0,0.348655104637146,0.0,0,2,0,0,ЛОЖЬ
207,0.4688006341457367,0.0,0.2689514458179474,0.0,0,2,0,0,ЛОЖЬ
208,0.59267657995224,0.0,0.1520422399044037,0.0,1,0,0,2,ЛОЖЬ
209,0.59267657995224,0.0,0.3140605390071869,0.0,0,0,0,0,ЛОЖЬ
210,0.4225146472454071,0.1824355274438858,0.0,0.0,3,8,0,2,ЛОЖЬ
211,0.41490885615348816,0.0,0.30736804008483887,0.0,0,1,0,0,ЛОЖЬ
212,0.6150978803634644,0.0,0.1732981950044632,0.0,0,0,0,0,ЛОЖЬ
213,0.6442351341247559,0.0,0.21734751760959625,0.0,0,0,0,0,ЛОЖЬ
214,0.6224693655967712,0.0,0.20690405368804932,0.0,0,0,0,1,ЛОЖЬ
215,0.44553956389427185,0.0,0.23935934901237488,0.0,0,2,0,2,ЛОЖЬ
216,0.33459946513175964,0.0,0.3557848632335663,0.0,3,5,0,0,ЛОЖЬ
217,0.546748161315918,0.0,0.22271016240119934,0.0,0,0,0,0,ЛОЖЬ
218,0.4378334879875183,0.0,0.3629792034626007,0.0,0,1,0,0,ЛОЖЬ
219,0.5156299471855164,0.0,0.3276783227920532,0.0,2,0,0,0,ЛОЖЬ
220,0.5698626637458801,0.0,0.2689514458179474,0.0,0,3,0,6,ЛОЖЬ
221,0.4301573634147644,0.0,0.2814156115055084,0.0,0,0,0,0,ЛОЖЬ
222,0.6859594583511353,0.0,0.1520422399044037,0.0,1,0,0,0,ЛОЖЬ
223,0.4921981394290924,0.0,0.29422497749328613,0.0,1,0,0,0,ЛОЖЬ
224,0.4301573634147644,0.0,0.23935934901237488,0.0,0,0,0,1,ЛОЖЬ
225,0.6297846436500549,0.0,0.1778208613395691,0.0,0,1,0,0,ЛОЖЬ
226,0.6791887283325195,0.0,0.20182321965694427,0.0,0,0,1,1,ЛОЖЬ
227,0.3276783227920532,0.0,0.3007555902004242,0.0,0,4,0,0,ЛОЖЬ
228,0.46102678775787354,0.0,0.22271016240119934,0.0,0,1,0,0,ЛОЖЬ
229,0.5078218579292297,0.0,0.23371636867523193,0.0,1,1,0,3,ЛОЖЬ
230,0.4765896201133728,0.0,0.3007555902004242,0.0,1,0,0,0,ЛОЖЬ
231,0.6224693655967712,0.0,0.2689514458179474,0.0,1,0,0,5,ЛОЖЬ
232,0.5621865391731262,0.0,0.24509501457214355,0.0,1,0,0,0,ЛОЖЬ
233,0.4225146472454071,0.0,0.348655104637146,0.0,3,0,0,2,ЛОЖЬ
234,0.59267657995224,0.0,0.22816647589206696,0.0,0,0,0,0,ЛОЖЬ
235,0.5312193632125854,0.0,0.23371636867523193,0.0,2,4,0,2,ЛОЖЬ
236,0.5000100135803223,0.0,0.2509227991104126,0.0,0,5,0,0,ЛОЖЬ
237,0.7371681928634644,0.0,0.18714269995689392,0.0,0,0,0,0,ЛОЖЬ
238,0.4921981394290924,0.0,0.26285186409950256,0.0,0,1,0,0,ЛОЖЬ
239,0.7248802781105042,0.0,0.1097157895565033,0.0,0,1,0,2,ЛОЖЬ
240,0.41490885615348816,0.0,0.3007555902004242,0.0,0,0,0,1,ЛОЖЬ
241,0.5698626637458801,0.0,0.22816647589206696,0.0,0,0,0,2,ЛОЖЬ
242,0.5078218579292297,0.0,0.26285186409950256,0.0,0,1,0,0,ЛОЖЬ
243,0.6654205918312073,0.0,0.16452647745609283,0.0,0,0,0,0,ЛОЖЬ
244,0.3702353835105896,0.0,0.4765896201133728,0.0,0,9,1,3,ЛОЖЬ
245,0.5156299471855164,0.0,0.22271016240119934,0.0,0,0,1,0,ЛОЖЬ
246,0.59267657995224,0.0,0.22271016240119934,0.0,1,0,0,0,ЛОЖЬ
247,0.4688006341457367,0.0,0.22271016240119934,0.0,3,3,0,0,ЛОЖЬ
248,0.287777841091156,0.0,0.3276783227920532,0.0,0,1,0,1,ЛОЖЬ
249,0.607673168182373,0.0,0.1520422399044037,0.0,0,1,0,0,ЛОЖЬ
250,0.546748161315918,0.0,0.2509227991104126,0.0,3,0,0,1,ЛОЖЬ
251,0.4921981394290924,0.0,0.10088862478733063,0.0,0,0,0,5,ЛОЖЬ
252,0.41490885615348816,0.0,0.2814156115055084,0.0,1,1,0,1,ЛОЖЬ
253,0.6723417043685913,0.0,0.16027602553367615,0.0,2,1,0,0,ЛОЖЬ
254,0.4765896201133728,0.0,0.21734751760959625,0.0,0,0,0,2,ЛОЖЬ
255,0.3702353835105896,0.0,0.348655104637146,0.0,5,4,0,2,ЛОЖЬ
256,0.23935934901237488,0.0,0.20690405368804932,0.0,1,2,0,0,ЛОЖЬ
257,0.4301573634147644,0.0,0.2509227991104126,0.0,0,0,0,2,ЛОЖЬ
258,0.5156299471855164,0.0,0.24509501457214355,0.0,1,4,0,0,ЛОЖЬ
259,0.5775054097175598,0.0,0.29422497749328613,0.0,1,1,0,0,ЛОЖЬ
260,0.5544804334640503,0.0,0.26285186409950256,0.0,0,2,0,0,ЛОЖЬ
261,0.7310686111450195,0.0,0.24509501457214355,0.0,1,0,0,3,ЛОЖЬ
262,0.546748161315918,0.0,0.22816647589206696,0.0,0,1,0,0,ЛОЖЬ
263,0.546748161315918,0.0,0.3276783227920532,0.0,0,0,0,0,ЛОЖЬ
264,0.538993239402771,0.0,0.23935934901237488,0.0,0,1,0,0,ЛОЖЬ
265,0.59267657995224,0.0,0.2568419873714447,0.0,0,0,0,0,ЛОЖЬ
266,0.6001983880996704,0.0,0.21734751760959625,0.0,1,0,0,3,ЛОЖЬ
267,0.59267657995224,0.0,0.26285186409950256,0.0,0,5,0,0,ЛОЖЬ
268,0.5775054097175598,0.0,0.1778208613395691,0.0,0,5,0,7,ЛОЖЬ
269,0.6442351341247559,0.0,0.21734751760959625,0.0,0,0,0,1,ЛОЖЬ
270,0.5312193632125854,0.0,0.20690405368804932,0.0,0,1,0,0,ЛОЖЬ
271,0.7122421860694885,0.0,0.2509227991104126,0.0,0,0,0,0,ЛОЖЬ
272,0.5156299471855164,0.0,0.30736804008483887,0.0,1,0,0,1,ЛОЖЬ
273,0.6654205918312073,0.0,0.22816647589206696,0.0,2,1,0,1,ЛОЖЬ
274,0.771853506565094,0.0,0.1520422399044037,0.0,0,3,0,0,ЛОЖЬ
275,0.5544804334640503,0.0,0.2568419873714447,0.0,0,4,0,0,ЛОЖЬ
276,0.5621865391731262,0.0,0.22271016240119934,0.0,11,1,0,0,ЛОЖЬ
277,0.3702353835105896,0.0,0.3415925204753876,0.0,1,1,0,0,ЛОЖЬ
278,0.5544804334640503,0.0,0.24509501457214355,0.0,0,1,1,1,ЛОЖЬ
279,0.6297846436500549,0.0,0.26285186409950256,0.0,1,0,0,1,ЛОЖЬ
280,0.839743971824646,0.0,0.09535945951938629,0.0,5,7,0,70,ЛОЖЬ
281,0.4921981394290924,0.0,0.275139719247818,0.0,0,1,0,0,ЛОЖЬ
282,0.5698626637458801,0.0,0.23935934901237488,0.0,2,3,0,0,ЛОЖЬ
283,0.4301573634147644,0.0,0.21734751760959625,0.0,1,0,0,1,ЛОЖЬ
284,0.6442351341247559,0.0,0.26285186409950256,0.0,0,1,0,0,ЛОЖЬ
285,0.6442351341247559,0.0,0.20182321965694427,0.0,0,0,0,0,ЛОЖЬ
286,0.4921981394290924,0.0,0.1732981950044632,0.0,0,0,0,1,ЛОЖЬ
287,0.585111141204834,0.0,0.18714269995689392,0.0,0,0,0,0,ЛОЖЬ
288,0.6370407938957214,0.0,0.2568419873714447,0.0,3,3,0,0,ЛОЖЬ
289,0.5621865391731262,0.0,0.22816647589206696,0.0,0,0,0,0,ЛОЖЬ
290,0.3557848632335663,0.21734751760959625,0.0,0.0,0,0,0,5,ЛОЖЬ
291,0.5000100135803223,0.0,0.29422497749328613,0.0,0,0,0,3,ЛОЖЬ
292,0.7663036584854126,0.0,0.1732981950044632,0.0,0,0,0,1,ЛОЖЬ
293,0.538993239402771,0.0,0.26285186409950256,0.0,0,1,0,2,ЛОЖЬ
294,0.4765896201133728,0.0,0.22271016240119934,0.0,0,0,0,2,ЛОЖЬ
295,0.4688006341457367,0.0,0.320831298828125,0.0,2,3,0,0,ЛОЖЬ
296,0.5312193632125854,0.0,0.23371636867523193,0.0,0,0,0,0,ЛОЖЬ
297,0.7186043858528137,0.0,0.20182321965694427,0.0,0,4,0,0,ЛОЖЬ
298,0.4688006341457367,0.0,0.348655104637146,0.0,2,3,0,0,ЛОЖЬ
299,0.4301573634147644,0.0,0.33459946513175964,0.0,3,1,0,0,ЛОЖЬ
300,0.7371681928634644,0.0,0.19194278120994568,0.0,0,1,0,21,ЛОЖЬ
301,0.523430347442627,0.0,0.348655104637146,0.0,3,0,0,0,ЛОЖЬ
302,0.523430347442627,0.0,0.21734751760959625,0.0,0,2,0,0,ЛОЖЬ
